product_id,product_name,category,total_units_sold,total_revenue,average_rating,review_count
388,Decentralized 4thgeneration challenge,Sports,68,33978.92,2.5,4
126,Reduced bifurcated portal,Clothing,54,26460.0,3.6,5
479,Visionary uniform contingency,Home & Garden,61,25888.4,3.25,4
338,Seamless mobile hierarchy,Home & Garden,54,25199.64,3.5,6
475,Object-based multimedia capability,Electronics,54,24750.36,2.33,6
468,Realigned logistical Graphical User Interface,Sports,48,22897.44,2.67,3
117,Inverse optimizing Graphical User Interface,Electronics,47,21912.34,4.0,3
293,Streamlined maximized info-mediaries,Clothing,57,21805.35,3.0,9
215,Compatible web-enabled focus group,Clothing,63,20359.08,4.0,4
43,Streamlined content-based capacity,Electronics,43,20274.5,1.0,1
372,Configurable static access,Electronics,53,20213.14,2.67,6
380,Total real-time matrices,Clothing,44,20101.4,2.83,6
488,Optional value-added secured line,Books,46,20036.68,2.75,4
52,Enhanced 5thgeneration strategy,Books,42,20033.16,2.0,3
358,Enhanced didactic challenge,Clothing,41,19786.19,3.5,8
391,Realigned bi-directional interface,Sports,40,19563.2,2.5,4
186,Devolved human-resource approach,Sports,46,19546.78,1.6,5
108,Versatile local solution,Electronics,42,19524.12,3.5,4
421,Seamless fresh-thinking pricing structure,Electronics,39,19421.22,3.67,3
80,Cloned 24hour website,Clothing,45,19418.85,3.0,6
76,Devolved logistical standardization,Home & Garden,58,19209.6,2.5,4
466,Focused intermediate definition,Home & Garden,52,19040.32,1.6,5
202,Front-line dynamic application,Books,42,19021.8,3.25,4
252,Ameliorated reciprocal help-desk,Clothing,44,18753.68,4.67,3
49,Extended systematic help-desk,Home & Garden,41,18726.75,2.33,3
424,Implemented radical info-mediaries,Books,39,18522.66,2.75,4
25,Customer-focused zero administration moratorium,Books,58,18519.98,2.5,4
163,Integrated leadingedge Internet solution,Home & Garden,55,18431.05,2.25,4
368,Face-to-face next generation benchmark,Sports,38,18137.4,3.0,4
154,Expanded mission-critical process improvement,Home & Garden,49,17915.87,4.0,6
162,Cross-group transitional flexibility,Books,39,17570.28,3.17,6
141,Streamlined local process improvement,Clothing,52,17503.2,2.4,5
278,Multi-channeled secondary budgetary management,Books,40,17480.0,2.67,3
61,Stand-alone 3rdgeneration forecast,Sports,40,17474.0,3.0,3
494,Ergonomic human-resource throughput,Books,37,17427.0,5.0,1
339,Cross-group static interface,Sports,49,17354.82,2.56,9
437,Self-enabling upward-trending middleware,Books,35,17306.45,3.2,5
401,Multi-layered 24/7 matrices,Home & Garden,38,17300.26,3.0,1
129,Versatile analyzing software,Clothing,39,17243.46,2.6,5
453,Expanded attitude-oriented hub,Sports,34,16976.2,3.5,10
233,Customizable multimedia Local Area Network,Clothing,36,16957.08,2.0,6
307,Polarized 24/7 superstructure,Home & Garden,41,16933.0,3.0,4
451,Vision-oriented even-keeled system engine,Books,46,16789.54,1.5,2
472,Multi-channeled maximized leverage,Books,34,16270.02,2.67,3
93,Function-based upward-trending attitude,Clothing,45,16227.45,3.63,8
371,Organized intangible implementation,Sports,43,16109.95,2.0,5
311,Operative actuating process improvement,Sports,53,15954.59,3.5,6
